[2023-08-21 18:59:10.307] Log file generated
[2023-08-21 18:59:12.756] send 4158 to server
[2023-08-21 18:59:12.757] send 4160 to server
[2023-08-21 18:59:12.757] send 4159 to server
[2023-08-21 18:59:12.858] send 4158 to server
[2023-08-21 18:59:12.858] send 4159 to server
[2023-08-21 18:59:12.858] send 4160 to server
[2023-08-21 18:59:12.859] send 4160 to server
[2023-08-21 18:59:12.959] send 4159 to server
[2023-08-21 18:59:12.960] send 4159 to server
[2023-08-21 18:59:12.960] send 4160 to server
[2023-08-21 18:59:13.061] send 4160 to server
[2023-08-21 18:59:13.061] send 4162 to server
[2023-08-21 18:59:13.062] send 4160 to server
[2023-08-21 18:59:13.163] send 4160 to server
[2023-08-21 18:59:13.163] send 4160 to server
[2023-08-21 18:59:13.163] send 4160 to server
[2023-08-21 18:59:13.163] send 4160 to server
[2023-08-21 18:59:13.164] send 4161 to server
[2023-08-21 18:59:13.164] send 4159 to server
[2023-08-21 18:59:13.265] send 4159 to server
[2023-08-21 18:59:13.265] send 4159 to server
[2023-08-21 18:59:13.265] send 4159 to server
[2023-08-21 18:59:13.366] send 4157 to server
[2023-08-21 18:59:13.367] send 4158 to server
[2023-08-21 18:59:13.367] send 4160 to server
[2023-08-21 18:59:13.367] send 4160 to server
[2023-08-21 18:59:13.368] send 4160 to server
[2023-08-21 18:59:13.468] send 4160 to server
[2023-08-21 18:59:13.469] send 4160 to server
[2023-08-21 18:59:13.469] send 4161 to server
[2023-08-21 18:59:13.469] send 4157 to server
[2023-08-21 18:59:13.470] send 4158 to server
[2023-08-21 18:59:13.570] send 4162 to server
[2023-08-21 18:59:13.571] send 4160 to server
[2023-08-21 18:59:13.571] send 4159 to server
[2023-08-21 18:59:13.571] send 4159 to server
[2023-08-21 18:59:13.571] send 4160 to server
[2023-08-21 18:59:13.572] send 4159 to server
[2023-08-21 18:59:13.572] send 4161 to server
[2023-08-21 18:59:13.673] send 4161 to server
[2023-08-21 18:59:13.673] send 4161 to server
[2023-08-21 18:59:13.673] send 4162 to server
[2023-08-21 18:59:13.674] send 4160 to server
[2023-08-21 18:59:13.674] send 4160 to server
[2023-08-21 18:59:13.674] send 4160 to server
[2023-08-21 18:59:13.775] send 4159 to server
[2023-08-21 18:59:13.776] send 4158 to server
[2023-08-21 18:59:13.776] send 4161 to server
[2023-08-21 18:59:13.776] send 4159 to server
[2023-08-21 18:59:13.777] send 4158 to server
[2023-08-21 18:59:13.877] send 4157 to server
[2023-08-21 18:59:13.878] send 4157 to server
[2023-08-21 18:59:13.878] send 4161 to server
[2023-08-21 18:59:13.878] send 4158 to server
[2023-08-21 18:59:13.879] send 4160 to server
[2023-08-21 18:59:13.979] send 4161 to server
[2023-08-21 18:59:13.980] send 4159 to server
[2023-08-21 18:59:13.986] send 4158 to server
[2023-08-21 18:59:13.987] send 4160 to server
[2023-08-21 18:59:13.987] send 4158 to server
[2023-08-21 18:59:14.088] send 4160 to server
[2023-08-21 18:59:14.088] send 4158 to server
[2023-08-21 18:59:14.089] send 4159 to server
[2023-08-21 18:59:14.089] send 4161 to server
[2023-08-21 18:59:14.089] send 4159 to server
[2023-08-21 18:59:14.089] send 4159 to server
[2023-08-21 18:59:14.190] send 4159 to server
[2023-08-21 18:59:14.291] send 4159 to server
[2023-08-21 18:59:14.291] send 4159 to server
[2023-08-21 18:59:14.292] send 4159 to server
[2023-08-21 18:59:14.292] send 4158 to server
[2023-08-21 18:59:14.292] send 4159 to server
[2023-08-21 18:59:14.292] send 4159 to server
[2023-08-21 18:59:14.393] send 4161 to server
[2023-08-21 18:59:14.393] send 4161 to server
[2023-08-21 18:59:14.394] send 4160 to server
[2023-08-21 18:59:14.495] send 4160 to server
[2023-08-21 18:59:14.495] send 4160 to server
[2023-08-21 18:59:14.495] send 4159 to server
[2023-08-21 18:59:14.495] send 4159 to server
[2023-08-21 18:59:14.496] send 4159 to server
[2023-08-21 18:59:14.597] send 4159 to server
[2023-08-21 18:59:14.597] send 4161 to server
[2023-08-21 18:59:14.597] send 4160 to server
[2023-08-21 18:59:14.698] send 4159 to server
[2023-08-21 18:59:14.699] send 4160 to server
[2023-08-21 18:59:14.699] send 4160 to server
[2023-08-21 18:59:14.699] send 4160 to server
[2023-08-21 18:59:14.699] send 4160 to server
[2023-08-21 18:59:14.800] send 4161 to server
[2023-08-21 18:59:14.800] send 4160 to server
[2023-08-21 18:59:14.801] send 4161 to server
[2023-08-21 18:59:14.801] send 4161 to server
[2023-08-21 18:59:14.801] send 4161 to server
[2023-08-21 18:59:14.802] send 4161 to server
[2023-08-21 18:59:14.903] send 4160 to server
[2023-08-21 18:59:14.903] send 4161 to server
[2023-08-21 18:59:14.903] send 4159 to server
[2023-08-21 18:59:14.904] send 4159 to server
[2023-08-21 18:59:14.904] send 4161 to server
[2023-08-21 18:59:14.904] send 4161 to server
[2023-08-21 18:59:14.904] send 4161 to server
[2023-08-21 18:59:14.904] send 4162 to server
