[2023-08-21 19:21:33.877] Log file generated
[2023-08-21 19:21:33.979] send 43 to server
[2023-08-21 19:21:33.979] send 43 to server
[2023-08-21 19:21:33.979] send 43 to server
[2023-08-21 19:21:34.080] send 43 to server
[2023-08-21 19:21:34.080] send 43 to server
[2023-08-21 19:21:34.080] send 43 to server
[2023-08-21 19:21:34.080] send 43 to server
[2023-08-21 19:21:34.081] send 43 to server
[2023-08-21 19:21:34.081] send 43 to server
[2023-08-21 19:21:34.181] send 43 to server
[2023-08-21 19:21:34.182] send 43 to server
[2023-08-21 19:21:34.182] send 43 to server
[2023-08-21 19:21:34.182] send 43 to server
[2023-08-21 19:21:34.182] send 43 to server
[2023-08-21 19:21:34.182] send 43 to server
[2023-08-21 19:21:34.283] send 43 to server
[2023-08-21 19:21:34.283] send 43 to server
[2023-08-21 19:21:34.283] send 43 to server
[2023-08-21 19:21:34.283] send 43 to server
[2023-08-21 19:21:34.284] send 43 to server
[2023-08-21 19:21:34.284] send 43 to server
[2023-08-21 19:21:34.384] send 43 to server
[2023-08-21 19:21:34.384] send 43 to server
[2023-08-21 19:21:34.385] send 43 to server
[2023-08-21 19:21:34.385] send 43 to server
[2023-08-21 19:21:34.385] send 43 to server
[2023-08-21 19:21:34.486] send 43 to server
[2023-08-21 19:21:34.486] send 43 to server
[2023-08-21 19:21:34.486] send 43 to server
[2023-08-21 19:21:34.486] send 43 to server
[2023-08-21 19:21:34.486] send 43 to server
[2023-08-21 19:21:34.487] send 43 to server
[2023-08-21 19:21:34.487] send 43 to server
[2023-08-21 19:21:34.587] send 43 to server
[2023-08-21 19:21:34.588] send 43 to server
[2023-08-21 19:21:34.588] send 43 to server
[2023-08-21 19:21:34.588] send 43 to server
[2023-08-21 19:21:34.588] send 43 to server
[2023-08-21 19:21:34.589] send 43 to server
[2023-08-21 19:21:34.589] send 43 to server
[2023-08-21 19:21:34.690] send 43 to server
[2023-08-21 19:21:34.690] send 43 to server
[2023-08-21 19:21:34.690] send 43 to server
[2023-08-21 19:21:34.690] send 43 to server
[2023-08-21 19:21:34.691] send 43 to server
[2023-08-21 19:21:34.792] send 43 to server
[2023-08-21 19:21:34.792] send 43 to server
[2023-08-21 19:21:34.792] send 43 to server
[2023-08-21 19:21:34.793] send 43 to server
[2023-08-21 19:21:34.893] send 43 to server
[2023-08-21 19:21:34.894] send 43 to server
[2023-08-21 19:21:34.894] send 43 to server
[2023-08-21 19:21:34.894] send 43 to server
[2023-08-21 19:21:34.894] send 43 to server
[2023-08-21 19:21:34.995] send 43 to server
[2023-08-21 19:21:34.996] send 43 to server
[2023-08-21 19:21:34.996] send 43 to server
[2023-08-21 19:21:34.996] send 43 to server
[2023-08-21 19:21:35.097] send 43 to server
[2023-08-21 19:21:35.097] send 43 to server
[2023-08-21 19:21:35.097] send 43 to server
[2023-08-21 19:21:35.098] send 43 to server
[2023-08-21 19:21:35.098] send 43 to server
[2023-08-21 19:21:35.098] send 43 to server
[2023-08-21 19:21:35.098] send 43 to server
[2023-08-21 19:21:35.199] send 43 to server
[2023-08-21 19:21:35.199] send 4131 to server
[2023-08-21 19:21:35.200] send 43 to server
[2023-08-21 19:21:35.200] send 43 to server
[2023-08-21 19:21:35.200] send 43 to server
[2023-08-21 19:21:35.200] send 43 to server
[2023-08-21 19:21:35.301] send 43 to server
[2023-08-21 19:21:35.301] send 43 to server
[2023-08-21 19:21:35.302] send 43 to server
[2023-08-21 19:21:35.302] send 43 to server
[2023-08-21 19:21:35.302] send 43 to server
[2023-08-21 19:21:35.302] send 43 to server
[2023-08-21 19:21:35.302] send 43 to server
[2023-08-21 19:21:35.302] send 43 to server
[2023-08-21 19:21:35.403] send 43 to server
[2023-08-21 19:21:35.404] send 43 to server
[2023-08-21 19:21:35.404] send 43 to server
[2023-08-21 19:21:35.404] send 43 to server
[2023-08-21 19:21:35.404] send 43 to server
[2023-08-21 19:21:35.405] send 43 to server
[2023-08-21 19:21:35.505] send 43 to server
[2023-08-21 19:21:35.506] send 43 to server
[2023-08-21 19:21:35.506] send 43 to server
[2023-08-21 19:21:35.506] send 43 to server
[2023-08-21 19:21:35.507] send 43 to server
[2023-08-21 19:21:35.507] send 43 to server
[2023-08-21 19:21:35.608] send 43 to server
[2023-08-21 19:21:35.608] send 43 to server
[2023-08-21 19:21:35.608] send 43 to server
[2023-08-21 19:21:35.609] send 43 to server
[2023-08-21 19:21:35.609] send 43 to server
[2023-08-21 19:21:35.609] send 43 to server
[2023-08-21 19:21:35.710] send 43 to server
[2023-08-21 19:21:35.710] send 43 to server
[2023-08-21 19:21:35.711] send 43 to server
[2023-08-21 19:21:35.711] send 43 to server
[2023-08-21 19:21:35.812] send 43 to server
[2023-08-21 19:21:35.812] send 43 to server
[2023-08-21 19:21:35.813] send 43 to server
[2023-08-21 19:21:35.813] send 43 to server
[2023-08-21 19:21:35.813] send 43 to server
[2023-08-21 19:21:35.914] send 43 to server
[2023-08-21 19:21:35.914] send 43 to server
[2023-08-21 19:21:35.914] send 43 to server
[2023-08-21 19:21:36.015] send 43 to server
[2023-08-21 19:21:36.016] send 43 to server
[2023-08-21 19:21:36.016] send 43 to server
[2023-08-21 19:21:36.016] send 43 to server
[2023-08-21 19:21:36.016] send 43 to server
[2023-08-21 19:21:36.117] send 43 to server
[2023-08-21 19:21:36.118] send 43 to server
[2023-08-21 19:21:36.118] send 43 to server
[2023-08-21 19:21:36.118] send 43 to server
[2023-08-21 19:21:36.118] send 43 to server
[2023-08-21 19:21:36.119] send 43 to server
[2023-08-21 19:21:36.219] send 43 to server
[2023-08-21 19:21:36.220] send 43 to server
[2023-08-21 19:21:36.220] send 43 to server
[2023-08-21 19:21:36.220] send 43 to server
[2023-08-21 19:21:36.221] send 43 to server
[2023-08-21 19:21:36.221] send 43 to server
[2023-08-21 19:21:36.322] send 43 to server
[2023-08-21 19:21:36.322] send 43 to server
[2023-08-21 19:21:36.322] send 43 to server
[2023-08-21 19:21:36.322] send 43 to server
[2023-08-21 19:21:36.423] send 43 to server
[2023-08-21 19:21:36.424] send 43 to server
[2023-08-21 19:21:36.424] send 43 to server
[2023-08-21 19:21:36.424] send 43 to server
[2023-08-21 19:21:36.424] send 43 to server
[2023-08-21 19:21:36.525] send 43 to server
[2023-08-21 19:21:36.526] send 43 to server
[2023-08-21 19:21:36.526] send 43 to server
[2023-08-21 19:21:36.526] send 43 to server
[2023-08-21 19:21:36.526] send 43 to server
[2023-08-21 19:21:36.527] send 43 to server
[2023-08-21 19:21:36.527] send 43 to server
[2023-08-21 19:21:36.628] send 43 to server
[2023-08-21 19:21:36.628] send 43 to server
[2023-08-21 19:21:36.628] send 43 to server
[2023-08-21 19:21:36.629] send 43 to server
[2023-08-21 19:21:36.730] send 43 to server
[2023-08-21 19:21:36.730] send 43 to server
[2023-08-21 19:21:36.730] send 43 to server
[2023-08-21 19:21:36.831] send 43 to server
[2023-08-21 19:21:36.832] send 43 to server
[2023-08-21 19:21:36.832] send 43 to server
[2023-08-21 19:21:36.832] send 43 to server
[2023-08-21 19:21:36.832] send 43 to server
[2023-08-21 19:21:36.933] send 43 to server
[2023-08-21 19:21:36.934] send 43 to server
[2023-08-21 19:21:36.934] send 44 to server
[2023-08-21 19:21:36.934] send 43 to server
[2023-08-21 19:21:36.934] send 43 to server
[2023-08-21 19:21:36.935] send 44 to server
[2023-08-21 19:21:36.935] send 44 to server
[2023-08-21 19:21:37.036] send 44 to server
[2023-08-21 19:21:37.036] send 44 to server
[2023-08-21 19:21:37.036] send 44 to server
[2023-08-21 19:21:37.037] send 44 to server
[2023-08-21 19:21:37.138] send 44 to server
[2023-08-21 19:21:37.138] send 4132 to server
[2023-08-21 19:21:37.138] send 44 to server
[2023-08-21 19:21:37.139] send 44 to server
[2023-08-21 19:21:37.139] send 44 to server
[2023-08-21 19:21:37.240] send 44 to server
[2023-08-21 19:21:37.240] send 44 to server
[2023-08-21 19:21:37.240] send 44 to server
[2023-08-21 19:21:37.241] send 44 to server
[2023-08-21 19:21:37.341] send 44 to server
[2023-08-21 19:21:37.342] send 44 to server
[2023-08-21 19:21:37.342] send 44 to server
[2023-08-21 19:21:37.342] send 44 to server
[2023-08-21 19:21:37.343] send 44 to server
[2023-08-21 19:21:37.443] send 44 to server
[2023-08-21 19:21:37.444] send 44 to server
[2023-08-21 19:21:37.444] send 44 to server
[2023-08-21 19:21:37.444] send 44 to server
[2023-08-21 19:21:37.445] send 44 to server
[2023-08-21 19:21:37.445] send 44 to server
[2023-08-21 19:21:37.445] send 44 to server
[2023-08-21 19:21:37.546] send 44 to server
[2023-08-21 19:21:37.546] send 44 to server
[2023-08-21 19:21:37.547] send 44 to server
[2023-08-21 19:21:37.547] send 44 to server
[2023-08-21 19:21:37.547] send 44 to server
[2023-08-21 19:21:37.648] send 44 to server
[2023-08-21 19:21:37.648] send 44 to server
[2023-08-21 19:21:37.649] send 44 to server
[2023-08-21 19:21:37.749] send 43 to server
[2023-08-21 19:21:37.750] send 44 to server
[2023-08-21 19:21:37.750] send 44 to server
